what,kind,bundleId,bundleVersion,description,time
processors,sysinfo,,,"2",1261868520021
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1261868520021
java.runtime.version,sysinfo,,,"1.6.0_14-b08",1261868520021
java.specification.name,sysinfo,,,"Java Platform API Specification",1261868520021
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1261868520021
java.specification.version,sysinfo,,,"1.6",1261868520021
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1261868520021
java.version,sysinfo,,,"1.6.0_14",1261868520021
java.vm.info,sysinfo,,,"mixed mode",1261868520021
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1261868520021
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1261868520021
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1261868520021
java.vm.specification.version,sysinfo,,,"1.0",1261868520021
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1261868520021
java.vm.version,sysinfo,,,"14.0-b16",1261868520021
started,bundle,org.eclipse.mylyn.tasks.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.tasks.ui",1261868520029
started,bundle,org.eclipse.mylyn.team.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.team.ui",1261868520040
started,bundle,org.eclipse.team.svn.ui,0.7.8.I20091023-1300,"org.eclipse.team.svn.ui",1261868520199
started,bundle,org.eclipse.team.svn.mylyn,0.7.8.I20091023-1300,"org.eclipse.team.svn.mylyn",1261868520220
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1261868520423
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1261868520424
started,bundle,org.eclipse.team.cvs.ui,3.3.201.R35x_v20090826-0905,"org.eclipse.team.cvs.ui",1261868520531
started,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1261868520652
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261868549722
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261868551196
