what,kind,bundleId,bundleVersion,description,time
ws,sysinfo,,,"win32",1261955514412
locale,sysinfo,,,"pt_BR",1261955514412
processors,sysinfo,,,"2",1261955514432
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1261955514432
java.runtime.version,sysinfo,,,"1.6.0_14-b08",1261955514432
java.specification.name,sysinfo,,,"Java Platform API Specification",1261955514432
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1261955514432
java.specification.version,sysinfo,,,"1.6",1261955514432
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1261955514432
java.version,sysinfo,,,"1.6.0_14",1261955514432
java.vm.info,sysinfo,,,"mixed mode",1261955514432
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1261955514432
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1261955514432
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1261955514432
java.vm.specification.version,sysinfo,,,"1.0",1261955514432
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1261955514432
java.vm.version,sysinfo,,,"14.0-b16",1261955514432
started,bundle,org.eclipse.dltk.core,1.0.1.v20090910-1601,"org.eclipse.dltk.core",1261955514611
started,bundle,org.eclipse.dltk.launching,1.0.1.v20090910-1601,"org.eclipse.dltk.launching",1261955514650
started,bundle,org.eclipse.dltk.ui,1.0.1.v20090903-2153,"org.eclipse.dltk.ui",1261955514681
started,bundle,org.eclipse.team.svn.ui,0.7.8.I20091023-1300,"org.eclipse.team.svn.ui",1261955514745
started,bundle,org.eclipse.team.svn.mylyn,0.7.8.I20091023-1300,"org.eclipse.team.svn.mylyn",1261955514768
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1261955515011
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1261955515012
started,bundle,org.eclipse.team.cvs.ui,3.3.201.R35x_v20090826-0905,"org.eclipse.team.cvs.ui",1261955515134
