what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261670864281
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261670865334
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261671232144
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261671235594
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261671314917
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261671316304
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261671324095
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261671325497
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261671421043
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261671428185
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261671587023
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261671587825
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261671596495
started,bundle,org.eclipse.jst.servlet.ui,1.1.301.v200908101600,"org.eclipse.jst.servlet.ui",1261671601002
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1261671603117
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring",1261671603119
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261671607123
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261671609106
started,bundle,org.eclipse.compare.core,3.5.0.I20090430-0408,"org.eclipse.compare.core",1261671615432
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1261671615605
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1261671616174
started,bundle,org.eclipse.jdt.junit,3.5.1.r351_v20090708-0800,"org.eclipse.jdt.junit",1261671617023
started,bundle,org.eclipse.jdt.apt.core,3.3.201.R35x_v20090818-0235,"org.eclipse.jdt.apt.core",1261671617255
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.201.R35x_v20090818-0225,"org.eclipse.jdt.apt.pluggable.core",1261671617293
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261671634251
