what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.ui,1.0.101.R35x_v20090819,"org.eclipse.equinox.p2.ui",1261543205223
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk",1261543212161
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261543269230
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261543269570
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261543305708
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261543306042
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261543831099
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261543890011
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261543893751
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261543947688
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261543948698
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261544012860
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261544013240
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.406.v200903031852,"org.eclipse.jst.ws.axis.creation.ui",1261544013952
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.405.v200901261650,"org.eclipse.jst.ws.axis.consumption.ui",1261544013952
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.306.v200810082309,"org.eclipse.jst.ws.axis.consumption.core",1261544013952
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.103.v200807162242,"org.eclipse.jst.ws.axis2.creation.ui",1261544013952
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.102.v200807232000,"org.eclipse.jst.ws.axis2.consumption.ui",1261544013952
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.105.v200901220134,"org.eclipse.jst.ws.axis2.creation.core",1261544013952
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.104.v200810151442,"org.eclipse.jst.ws.axis2.consumption.core",1261544013962
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.302.v200905260749,"org.eclipse.jst.ws.axis2.ui",1261544013962
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.104.v200810151442,"org.eclipse.jst.ws.axis2.core",1261544013962
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.408.v200904211646,"org.eclipse.jst.ws.creation.ui",1261544013962
stopped,bundle,org.eclipse.jst.ws.consumption.ui,1.1.105.v200908192014,"org.eclipse.jst.ws.consumption.ui",1261544013962
stopped,bundle,org.eclipse.jst.ws.consumption,1.0.407.v200905191120,"org.eclipse.jst.ws.consumption",1261544013962
