what,kind,bundleId,bundleVersion,description,time
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1261541772702
java.runtime.version,sysinfo,,,"1.6.0_14-b08",1261541772702
java.specification.name,sysinfo,,,"Java Platform API Specification",1261541772702
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1261541772702
java.specification.version,sysinfo,,,"1.6",1261541772702
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1261541772702
java.version,sysinfo,,,"1.6.0_14",1261541772702
java.vm.info,sysinfo,,,"mixed mode",1261541772702
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1261541772702
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1261541772702
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1261541772702
java.vm.specification.version,sysinfo,,,"1.0",1261541772702
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1261541772702
java.vm.version,sysinfo,,,"14.0-b16",1261541772702
started,bundle,org.eclipse.mylyn.commons.net,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.commons.net",1261541772733
started,bundle,org.eclipse.mylyn.commons.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.commons.ui",1261541772765
started,bundle,org.eclipse.mylyn.bugzilla.core,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.bugzilla.core",1261541772874
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.bugzilla.ui",1261541772889
started,bundle,org.eclipse.mylyn.context.core,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.context.core",1261541772936
started,bundle,org.eclipse.mylyn.context.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.context.ui",1261541772967
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.tasks.ui",1261541773061
started,bundle,org.eclipse.mylyn.team.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.team.ui",1261541773061
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1261541773077
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1261541773092
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1261541773108
