what,kind,bundleId,bundleVersion,description,time
java.vm.version,sysinfo,,,"14.0-b16",1261670154328
started,bundle,org.polarion.eclipse.team.svn.connector.svnkit16,2.2.1.I20091009-1900,"org.polarion.eclipse.team.svn.connector.svnkit16",1261670154391
started,bundle,org.eclipse.mylyn.commons.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.commons.ui",1261670154462
started,bundle,org.eclipse.mylyn.bugzilla.core,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.bugzilla.core",1261670155328
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.bugzilla.ui",1261670155483
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1261670155672
started,bundle,org.eclipse.mylyn.context.core,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.context.core",1261670155794
started,bundle,org.eclipse.mylyn.context.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.context.ui",1261670155828
started,bundle,org.eclipse.mylyn.tasks.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.tasks.ui",1261670156145
started,bundle,org.eclipse.mylyn.team.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.team.ui",1261670156228
started,bundle,org.eclipse.team.svn.ui,0.7.8.I20091023-1300,"org.eclipse.team.svn.ui",1261670157938
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1261670158103
started,bundle,org.eclipse.team.svn.mylyn,0.7.8.I20091023-1300,"org.eclipse.team.svn.mylyn",1261670158230
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1261670159550
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1261670159569
started,bundle,org.eclipse.team.cvs.ui,3.3.201.R35x_v20090826-0905,"org.eclipse.team.cvs.ui",1261670159790
started,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1261670159871
started,bundle,org.eclipse.equinox.p2.ui,1.0.101.R35x_v20090819,"org.eclipse.equinox.p2.ui",1261670244504
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk",1261670244587
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261670245340
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261670534446
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk.install",1261670534474
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261670608492
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261670629823
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261670632195
