what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.modulecore,1.1.301.v200908101600,"org.eclipse.wst.common.modulecore",1261943503341
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.1.v200908111817,"org.eclipse.wst.common.project.facet.core",1261943503341
started,bundle,org.eclipse.wst.jsdt.core,1.0.201.v200908101420,"org.eclipse.wst.jsdt.core",1261943503358
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.100.v200809240707,"org.eclipse.wst.jsdt.manipulation",1261943503369
started,bundle,org.eclipse.wst.jsdt.ui,1.0.200.v200905242047,"org.eclipse.wst.jsdt.ui",1261943503369
started,bundle,org.eclipse.wst.sse.core,1.1.401.v200909172215,"org.eclipse.wst.sse.core",1261943503372
started,bundle,org.eclipse.wst.validation,1.2.102.v200905201610,"org.eclipse.wst.validation",1261943503377
started,bundle,org.eclipse.wst.web,1.1.301.v200909021400,"org.eclipse.wst.web",1261943503385
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1261943503387
started,bundle,org.eclipse.wst.xml.core,1.1.401.v200908242115,"org.eclipse.wst.xml.core",1261943503412
started,bundle,org.eclipse.mylyn.monitor.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.monitor.ui",1261943503413
started,bundle,org.eclipse.team.svn.core,0.7.8.I20091023-1300,"org.eclipse.team.svn.core",1261943503415
os,sysinfo,,,"win32",1261943503421
arch,sysinfo,,,"x86",1261943503421
ws,sysinfo,,,"win32",1261943503421
locale,sysinfo,,,"pt_BR",1261943503421
processors,sysinfo,,,"2",1261943503421
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1261943503421
java.runtime.version,sysinfo,,,"1.6.0_14-b08",1261943503421
java.specification.name,sysinfo,,,"Java Platform API Specification",1261943503421
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1261943503421
java.specification.version,sysinfo,,,"1.6",1261943503421
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1261943503421
java.version,sysinfo,,,"1.6.0_14",1261943503421
java.vm.info,sysinfo,,,"mixed mode",1261943503421
