what,kind,bundleId,bundleVersion,description,time
arch,sysinfo,,,"x86",1261544049618
ws,sysinfo,,,"win32",1261544049618
locale,sysinfo,,,"pt_BR",1261544049618
processors,sysinfo,,,"2",1261544049618
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1261544049618
java.runtime.version,sysinfo,,,"1.6.0_14-b08",1261544049618
java.specification.name,sysinfo,,,"Java Platform API Specification",1261544049618
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1261544049618
java.specification.version,sysinfo,,,"1.6",1261544049618
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1261544049618
java.version,sysinfo,,,"1.6.0_14",1261544049618
java.vm.info,sysinfo,,,"mixed mode",1261544049618
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1261544049618
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1261544049618
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1261544049618
java.vm.specification.version,sysinfo,,,"1.0",1261544049618
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1261544049618
java.vm.version,sysinfo,,,"14.0-b16",1261544049618
started,bundle,org.eclipse.mylyn.tasks.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.tasks.ui",1261544049658
started,bundle,org.eclipse.mylyn.team.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.team.ui",1261544049668
started,bundle,org.eclipse.team.svn.mylyn,0.7.8.I20091023-1300,"org.eclipse.team.svn.mylyn",1261544049708
started,bundle,org.eclipse.team.svn.core,0.7.8.I20091023-1300,"org.eclipse.team.svn.core",1261544049768
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1261544049948
started,bundle,org.polarion.eclipse.team.svn.connector.svnkit16,2.2.1.I20091009-1900,"org.polarion.eclipse.team.svn.connector.svnkit16",1261544050069
started,bundle,org.eclipse.team.svn.ui,0.7.8.I20091023-1300,"org.eclipse.team.svn.ui",1261544052284
