what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261671659739
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProgressView",1261671662192
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1261671662420
started,bundle,org.eclipse.pde.api.tools,1.0.101.v20090714,"org.eclipse.pde.api.tools",1261671669783
started,bundle,org.eclipse.pde.api.tools.ui,1.0.101.v20090820,"org.eclipse.pde.api.tools.ui",1261671669786
started,bundle,org.eclipse.mylyn.java.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.java.ui",1261671669822
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1261671670744
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1261671679949
started,bundle,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui",1261671693632
error,log,,,"Transfer Exception",1261671693878
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261671694879
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261671696838
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProgressView",1261671700358
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1261671702739
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProgressView",1261671703247
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1261671709106
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261671710131
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261671719971
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1261671721008
started,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1261671721204
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1261671721267
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261671724234
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261671742843
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261671744355
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261671751417
