what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.validation,1.2.102.v200905201610,"org.eclipse.wst.validation",1261670154274
started,bundle,org.eclipse.wst.web,1.1.301.v200909021400,"org.eclipse.wst.web",1261670154277
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1261670154309
started,bundle,org.eclipse.wst.xml.core,1.1.401.v200908242115,"org.eclipse.wst.xml.core",1261670154318
started,bundle,org.eclipse.mylyn.commons.net,3.3.0.v20091013-0200-e3x,"org.eclipse.mylyn.commons.net",1261670154318
started,bundle,org.eclipse.mylyn.monitor.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.monitor.ui",1261670154319
started,bundle,org.eclipse.team.svn.core,0.7.8.I20091023-1300,"org.eclipse.team.svn.core",1261670154320
os,sysinfo,,,"win32",1261670154328
arch,sysinfo,,,"x86",1261670154328
ws,sysinfo,,,"win32",1261670154328
locale,sysinfo,,,"pt_BR",1261670154328
processors,sysinfo,,,"2",1261670154328
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1261670154328
java.runtime.version,sysinfo,,,"1.6.0_14-b08",1261670154328
java.specification.name,sysinfo,,,"Java Platform API Specification",1261670154328
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1261670154328
java.specification.version,sysinfo,,,"1.6",1261670154328
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1261670154328
java.version,sysinfo,,,"1.6.0_14",1261670154328
java.vm.info,sysinfo,,,"mixed mode",1261670154328
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1261670154328
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1261670154328
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1261670154328
java.vm.specification.version,sysinfo,,,"1.0",1261670154328
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1261670154328
