what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261943777351
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk.install",1261943777366
opened,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProgressView",1261943780727
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProgressView",1261943780777
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261943784575
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261943909982
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1261943914256
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261943916826
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261943919443
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProgressView",1261943919650
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1261943922295
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProgressView",1261943923144
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261943925286
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261943982553
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261944025885
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261944032835
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261944035613
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261944040533
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261944041586
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261944128057
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261944135871
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261944246901
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261944250348
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261944252026
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261944252957
